X(m),Y(m),Z(m),Distance(m),Capacity(MBit/sec),DelaySpread(sec),Interference (dB),Noise (dB),SNR (dB),SIR (dB),SINR (dB),Environment,Base Station Type,Base Station Code,Base Station Coordinates,Total Capacity (Gbps),Total Bandwidth (GHz),number of interfaces,Net delay(ms)
1270.0,1680.0,300.0,1065.01,124.3314,4.23856e-08,-250.0,-87.9897,-2.687003,159.3233,-2.687003,suburban air,ABS,ABS urban high rise1,208 1652 225,80.448,2.0,600,1.2
1280.0,40.0,300.0,835.938,234.391,2.07154e-08,-250.0,-87.9897,0.9800947,162.9904,0.9800947,sea sky,BS,BS urban1,1434 816 30,168.014,10.0,1600,0.5
1280.0,470.0,300.0,482.823,274.2328,2.36637e-08,-250.0,-87.9897,2.005199,164.0155,2.005199,plain air,BS,BS urban2,1678 537 35,151.213,10.0,1600,0.5
1280.0,910.0,300.0,872.508,314.8307,3.03305e-07,-250.0,-87.9897,2.961401,164.9717,2.961401,plain air,BS,BS urban high rise 2,658 1479 75,281.567,10.0,2400,0.7
1280.0,1150.0,150.0,386.857,2.303244,1.75122e-07,-250.0,-87.9897,-20.9613,141.049,-20.9613,plain air,BS,BS suburban2,1488 1449 20,101.412,10.0,1200,0.6
1280.0,1400.0,300.0,352.043,1.89039,4.21586e-08,-250.0,-87.9897,-21.8223,140.188,-21.8223,suburban air,BS,BS suburban2,1488 1449 20,101.412,10.0,1200,0.6
1280.0,1780.0,300.0,535.942,379.9213,1.14968e-07,-250.0,-87.9897,4.363397,166.3737,4.363397,plain air,ABS,ABS urban high rise2,765 1652 225,72.403,2.0,600,1.2
1290.0,160.0,300.0,836.511,226.0824,6.87429e-08,-250.0,-87.9897,0.7525955,162.7629,0.7525955,sea sky,BS,BS dense urban2,661 638 25,225.253,10.0,2000,0.5
1290.0,610.0,2.0,355.13,17.96367,6.71718e-09,-250.0,-87.9897,-11.9222,150.0881,-11.9222,urban ground,ABS,ABS urban,1550 700 225,48.004,2.0,400,1.0
1290.0,1000.0,150.0,736.417,272.5975,8.78786e-08,-250.0,-87.9897,1.965002,163.9753,1.965002,urban air,BS,BS dense urban2,661 638 25,225.253,10.0,2000,0.5
1290.0,1210.0,150.0,347.797,3.25255,3.90897e-07,-250.0,-87.9897,-19.45531,142.555,-19.45531,plain air,BS,BS suburban1,1478 1472 20,112.681,10.0,1200,0.6
1290.0,1480.0,150.0,1098.15,115.3082,8.56576e-08,-250.0,-87.9897,-3.086802,158.9235,-3.086802,suburban air,ABS,ABS urban high rise1,208 1652 225,80.448,2.0,600,1.2
1290.0,1840.0,150.0,562.667,212.6117,8.42448e-08,-250.0,-87.9897,0.371698,162.382,0.371698,plain air,ABS,ABS urban high rise2,765 1652 225,72.403,2.0,600,1.2
1300.0,230.0,150.0,768.381,137.7748,2.18468e-07,-250.0,-87.9897,-2.132308,159.878,-2.132308,sea sky,BS,BS dense urban2,661 638 25,225.253,10.0,2000,0.5
1300.0,690.0,150.0,263.046,597.567,6.86524e-08,-250.0,-87.9897,8.409103,170.4194,8.409103,urban air,ABS,ABS urban,1550 700 225,48.004,2.0,400,1.0
1300.0,1030.0,2.0,100186.0,369.3941,1.82836e-07,-250.0,-96.22878,37.06538,190.8366,37.06538,plain ground,Satellite,Satellite,xxx,40.233,2.5,400,20.0
1300.0,1250.0,2.0,1184.82,1.357227,1.43634e-08,-250.0,-87.9897,-23.2653,138.745,-23.2653,plain ground,ABS,ABS urban high rise1,208 1652 225,80.448,2.0,600,1.2
1300.0,1540.0,2.0,1120.15,1.918799,9.49053e-08,-250.0,-87.9897,-21.7573,140.253,-21.7573,suburban ground,ABS,ABS urban high rise1,208 1652 225,80.448,2.0,600,1.2
1300.0,1900.0,2.0,630.443,180.3175,2.29659e-09,-250.0,-87.9897,-0.614201,161.3961,-0.614201,plain ground,ABS,ABS urban high rise2,765 1652 225,72.403,2.0,600,1.2
1310.0,300.0,2.0,516.427,238.4335,6.66263e-10,-250.0,-87.9897,1.08889,163.0992,1.08889,sea surface,ABS,ABS urban,1550 700 225,48.004,2.0,400,1.0
1310.0,710.0,2.0,100187.0,331.8139,6.52545e-08,-250.0,-96.22878,33.29328,187.0645,33.29328,urban ground,Satellite,Satellite,xxx,40.233,2.5,400,20.0
1310.0,1030.0,2.0,758.547,76.20493,3.85248e-08,-250.0,-87.9897,-5.196101,156.8142,-5.196101,plain ground,BS,BS dense urban2,661 638 25,225.253,10.0,2000,0.5
1310.0,1240.0,2.0,287.119,2.741001,2.70543e-07,-250.0,-87.9897,-20.20231,141.808,-20.20231,plain ground,BS,BS suburban1,1478 1472 20,112.681,10.0,1200,0.6
1310.0,1530.0,2.0,601.363,248.1097,1.02132e-08,-250.0,-87.9897,1.344589,163.3549,1.344589,suburban ground,ABS,ABS urban high rise2,765 1652 225,72.403,2.0,600,1.2
1310.0,1890.0,2.0,450.277,362.6487,2.3607e-08,-250.0,-87.9897,4.004196,166.0145,4.004196,plain ground,BS,BS suburban1,1478 1472 20,112.681,10.0,1200,0.6
1320.0,290.0,2.0,519.632,372.8293,2.7913e-09,-250.0,-87.9897,4.216903,166.2272,4.216903,sea surface,ABS,ABS urban,1550 700 225,48.004,2.0,400,1.0
1320.0,710.0,2.0,322.02,10.42096,4.06142e-09,-250.0,-87.9897,-14.34431,147.666,-14.34431,urban ground,ABS,ABS urban,1550 700 225,48.004,2.0,400,1.0
1320.0,1020.0,2.0,100187.0,362.023,1.75505e-07,-250.0,-96.22878,36.32558,190.0968,36.32558,urban ground,Satellite,Satellite,xxx,40.233,2.5,400,20.0
1320.0,1240.0,2.0,421.816,253.4845,1.68758e-08,-250.0,-87.9897,1.483902,163.4942,1.483902,plain ground,ABS,ABS suburban,1530 1530 225,32.194,2.0,300,1.1
1320.0,1550.0,300.0,341.458,24.36081,1.58374e-08,-250.0,-87.9897,-10.55051,151.4598,-10.55051,suburban air,BS,BS suburban2,1488 1449 20,101.412,10.0,1200,0.6
1320.0,1920.0,300.0,826.65,264.4888,6.34728e-08,-250.0,-87.9897,1.7635,163.7738,1.7635,plain air,BS,BS urban high rise 2,658 1479 75,281.567,10.0,2400,0.7
1330.0,320.0,300.0,99890.9,328.8835,8.09851e-07,-250.0,-96.22878,32.99909,186.7703,32.99909,sea sky,Satellite,Satellite,xxx,40.233,2.5,400,20.0
1330.0,780.0,2.0,425.725,46.70376,9.15839e-07,-250.0,-87.9897,-7.552305,154.458,-7.552305,urban ground,BS,BS urban2,1678 537 35,151.213,10.0,1600,0.5
1330.0,1080.0,300.0,391.678,156.1113,3.70314e-08,-250.0,-87.9897,-1.440007,160.5703,-1.440007,plain air,BS,BS urban1,1434 816 30,168.014,10.0,1600,0.5
1330.0,1300.0,300.0,99889.0,400.0356,1.12012e-06,-250.0,-96.22878,40.14049,193.9117,40.14049,suburban air,Satellite,Satellite,xxx,40.233,2.5,400,20.0
1330.0,1620.0,300.0,570.854,245.2351,1.20221e-07,-250.0,-87.9897,1.269296,163.2796,1.269296,suburban air,ABS,ABS urban high rise2,765 1652 225,72.403,2.0,600,1.2
1330.0,1980.0,300.0,598.149,16.94569,3.11956e-08,-250.0,-87.9897,-12.1833,149.827,-12.1833,plain air,BS,BS suburban1,1478 1472 20,112.681,10.0,1200,0.6
1340.0,390.0,300.0,513.042,291.7136,6.6136e-09,-250.0,-87.9897,2.426294,164.4366,2.426294,urban air,BS,BS urban1,1434 816 30,168.014,10.0,1600,0.5
1340.0,840.0,2.0,100187.0,398.212,1.45188e-07,-250.0,-96.22878,39.95748,193.7287,39.95748,urban ground,Satellite,Satellite,xxx,40.233,2.5,400,20.0
1340.0,1120.0,300.0,458.067,355.201,1.10486e-07,-250.0,-87.9897,3.846697,165.857,3.846697,plain air,ABS,ABS suburban,1530 1530 225,32.194,2.0,300,1.1
1340.0,1340.0,300.0,99889.2,434.9075,1.08012e-06,-250.0,-96.22878,43.63988,197.4111,43.63988,suburban air,Satellite,Satellite,xxx,40.233,2.5,400,20.0
1340.0,1680.0,300.0,253.427,625.1788,4.48612e-08,-250.0,-87.9897,8.881496,170.8918,8.881496,suburban air,ABS,ABS suburban,1530 1530 225,32.194,2.0,300,1.1
1350.0,40.0,300.0,692.382,260.6185,5.56577e-08,-250.0,-87.9897,1.665996,163.6763,1.665996,sea sky,ABS,ABS urban,1550 700 225,48.004,2.0,400,1.0
1350.0,460.0,300.0,1190.67,167.9399,5.30459e-08,-250.0,-87.9897,-1.025502,160.9848,-1.025502,urban air,BS,BS dense urban1,314 990 48,202.728,10.0,2000,0.5
1350.0,850.0,300.0,961.837,155.7756,3.06097e-07,-250.0,-87.9897,-1.452109,160.5582,-1.452109,urban air,BS,BS urban high rise 2,658 1479 75,281.567,10.0,2400,0.7
1350.0,1110.0,300.0,475.442,0.6576269,1.90692e-08,-250.0,-87.9897,-26.4173,135.593,-26.4173,plain air,BS,BS suburban1,1478 1472 20,112.681,10.0,1200,0.6
1350.0,1350.0,300.0,1183.64,82.63791,9.79072e-09,-250.0,-87.9897,-4.793507,157.2168,-4.793507,suburban air,ABS,ABS urban high rise1,208 1652 225,80.448,2.0,600,1.2
1350.0,1710.0,2.0,270.235,907.7811,2.59278e-07,-250.0,-87.9897,13.4725,175.4828,13.4725,suburban ground,BS,BS suburban1,1478 1472 20,112.681,10.0,1200,0.6
1360.0,80.0,2.0,684.483,183.4082,3.31672e-09,-250.0,-87.9897,-0.514704,161.4956,-0.514704,sea surface,ABS,ABS urban,1550 700 225,48.004,2.0,400,1.0
1360.0,500.0,2.0,1156.0,0.01372032,4.89292e-07,-250.0,-87.9897,-43.2283,118.782,-43.2283,urban ground,BS,BS dense urban1,314 990 48,202.728,10.0,2000,0.5
1360.0,890.0,2.0,1051.78,364.8192,3.41164e-08,-250.0,-87.9897,4.049791,166.0601,4.049791,urban ground,BS,BS dense urban1,314 990 48,202.728,10.0,2000,0.5
1360.0,1130.0,2.0,362.518,20.26536,1.08183e-07,-250.0,-87.9897,-11.3811,150.6292,-11.3811,plain ground,BS,BS suburban1,1478 1472 20,112.681,10.0,1200,0.6
1360.0,1360.0,2.0,156.849,4.360026,1.03586e-06,-250.0,-87.9897,-18.1743,143.836,-18.1743,suburban ground,BS,BS suburban2,1488 1449 20,101.412,10.0,1200,0.6
1360.0,1700.0,2.0,739.577,344.9063,1.84442e-08,-250.0,-87.9897,3.626197,165.6365,3.626197,suburban ground,BS,BS urban high rise 2,658 1479 75,281.567,10.0,2400,0.7
1370.0,70.0,2.0,1401.3,4.0664,1.28737e-06,-250.0,-87.9897,-18.47931,143.531,-18.47931,sea surface,BS,BS dense urban1,314 990 48,202.728,10.0,2000,0.5
1370.0,500.0,300.0,420.538,306.5912,3.01027e-08,-250.0,-87.9897,2.773298,164.7836,2.773298,urban air,BS,BS urban1,1434 816 30,168.014,10.0,1600,0.5
1370.0,940.0,2.0,770.982,0.4459011,1.38504e-06,-250.0,-87.9897,-28.1063,133.904,-28.1063,urban ground,BS,BS dense urban2,661 638 25,225.253,10.0,2000,0.5
1370.0,1160.0,300.0,811.991,227.8011,1.47122e-07,-250.0,-87.9897,0.8000982,162.8104,0.8000982,plain air,BS,BS urban high rise 2,658 1479 75,281.567,10.0,2400,0.7
1370.0,1430.0,300.0,648.794,253.7643,6.45113e-09,-250.0,-87.9897,1.491102,163.5014,1.491102,suburban air,ABS,ABS urban high rise2,765 1652 225,72.403,2.0,600,1.2
1370.0,1790.0,300.0,436.816,387.078,2.95179e-09,-250.0,-87.9897,4.509901,166.5202,4.509901,plain air,BS,BS suburban1,1478 1472 20,112.681,10.0,1200,0.6
1380.0,170.0,300.0,900.894,195.2788,1.08305e-07,-250.0,-87.9897,-0.1433051,161.867,-0.1433051,sea sky,BS,BS dense urban2,661 638 25,225.253,10.0,2000,0.5
1380.0,700.0,150.0,187.651,697.1941,2.0602e-08,-250.0,-87.9897,10.0878,172.0981,10.0878,urban air,ABS,ABS urban,1550 700 225,48.004,2.0,400,1.0
1380.0,1100.0,2.0,366.076,6.455164,5.91306e-07,-250.0,-87.9897,-16.4543,145.556,-16.4543,plain ground,BS,BS suburban2,1488 1449 20,101.412,10.0,1200,0.6
1380.0,1380.0,2.0,732.403,3.546517,3.16062e-07,-250.0,-87.9897,-19.07731,142.933,-19.07731,suburban ground,BS,BS urban high rise 2,658 1479 75,281.567,10.0,2400,0.7
1380.0,1740.0,2.0,771.19,295.9708,1.89921e-08,-250.0,-87.9897,2.526601,164.5369,2.526601,plain ground,BS,BS urban high rise 2,658 1479 75,281.567,10.0,2400,0.7
1390.0,170.0,2.0,100190.0,383.7394,5.65201e-08,-250.0,-96.22878,38.50508,192.2763,38.50508,sea surface,Satellite,Satellite,xxx,40.233,2.5,400,20.0
1390.0,810.0,2.0,297.518,155.0286,5.76937e-09,-250.0,-87.9897,-1.479107,160.5312,-1.479107,urban ground,ABS,ABS urban,1550 700 225,48.004,2.0,400,1.0
1390.0,1180.0,2.0,437.983,343.009,6.87355e-08,-250.0,-87.9897,3.58519,165.5955,3.58519,plain ground,ABS,ABS suburban,1530 1530 225,32.194,2.0,300,1.1
1390.0,1560.0,2.0,125.128,1250.207,6.63686e-08,-250.0,-87.9897,18.76009,180.7704,18.76009,suburban ground,BS,BS suburban1,1478 1472 20,112.681,10.0,1200,0.6
1390.0,1930.0,150.0,483.651,243.6974,5.67176e-09,-250.0,-87.9897,1.228794,163.2391,1.228794,plain air,BS,BS suburban1,1478 1472 20,112.681,10.0,1200,0.6
1400.0,500.0,150.0,303.114,518.1388,3.25687e-08,-250.0,-87.9897,7.010396,169.0207,7.010396,urban air,BS,BS urban2,1678 537 35,151.213,10.0,1600,0.5
1400.0,1040.0,150.0,458.183,0.04117591,2.73233e-07,-250.0,-87.9897,-38.4553,123.555,-38.4553,plain air,BS,BS suburban1,1478 1472 20,112.681,10.0,1200,0.6
1400.0,1350.0,150.0,234.361,620.46,3.16799e-08,-250.0,-87.9897,8.801197,170.8115,8.801197,suburban air,ABS,ABS suburban,1530 1530 225,32.194,2.0,300,1.1
1400.0,1760.0,300.0,648.471,248.808,3.19035e-08,-250.0,-87.9897,1.362795,163.3731,1.362795,plain air,ABS,ABS urban high rise2,765 1652 225,72.403,2.0,600,1.2
1410.0,260.0,300.0,99891.6,378.291,7.02632e-07,-250.0,-96.22878,37.95828,191.7295,37.95828,sea sky,Satellite,Satellite,xxx,40.233,2.5,400,20.0
1410.0,900.0,300.0,258.056,603.288,2.80278e-08,-250.0,-87.9897,8.507494,170.5178,8.507494,urban air,ABS,ABS urban,1550 700 225,48.004,2.0,400,1.0
1410.0,1220.0,300.0,340.771,502.3411,3.66873e-08,-250.0,-87.9897,6.723693,168.734,6.723693,plain air,ABS,ABS suburban,1530 1530 225,32.194,2.0,300,1.1
1410.0,1600.0,300.0,315.014,254.7916,8.21538e-10,-250.0,-87.9897,1.5175,163.5278,1.5175,suburban air,BS,BS suburban1,1478 1472 20,112.681,10.0,1200,0.6
1420.0,30.0,300.0,685.035,257.7164,1.33056e-07,-250.0,-87.9897,1.592296,163.6026,1.592296,sea sky,ABS,ABS urban,1550 700 225,48.004,2.0,400,1.0
1420.0,690.0,150.0,321.244,638.3353,3.17674e-08,-250.0,-87.9897,9.104494,171.1148,9.104494,urban air,BS,BS urban2,1678 537 35,151.213,10.0,1600,0.5
1420.0,1140.0,2.0,860.754,141.4086,2.64269e-08,-250.0,-87.9897,-1.989705,160.0206,-1.989705,plain ground,ABS,ABS urban high rise2,765 1652 225,72.403,2.0,600,1.2
1420.0,1490.0,2.0,251.851,55.87359,2.02868e-08,-250.0,-87.9897,-6.702706,155.3076,-6.702706,suburban ground,ABS,ABS suburban,1530 1530 225,32.194,2.0,300,1.1
1420.0,1910.0,2.0,1259.06,109.794,5.00054e-09,-250.0,-87.9897,-3.343808,158.6665,-3.343808,plain ground,ABS,ABS urban high rise1,208 1652 225,80.448,2.0,600,1.2
1430.0,500.0,300.0,415.659,300.9638,4.43526e-08,-250.0,-87.9897,2.643198,164.6535,2.643198,urban air,BS,BS urban1,1434 816 30,168.014,10.0,1600,0.5
1430.0,1060.0,150.0,271.941,574.4222,6.25887e-08,-250.0,-87.9897,8.008102,170.0184,8.008102,plain air,BS,BS urban1,1434 816 30,168.014,10.0,1600,0.5
1430.0,1390.0,150.0,187.683,706.163,3.89547e-08,-250.0,-87.9897,10.2358,172.2461,10.2358,suburban air,ABS,ABS suburban,1530 1530 225,32.194,2.0,300,1.1
1430.0,1830.0,2.0,723.628,139.529,2.33126e-09,-250.0,-87.9897,-2.063109,159.9472,-2.063109,plain ground,ABS,ABS urban high rise2,765 1652 225,72.403,2.0,600,1.2
1440.0,370.0,2.0,292.612,34.58266,1.27509e-06,-250.0,-87.9897,-8.950602,153.0597,-8.950602,sea surface,BS,BS urban2,1678 537 35,151.213,10.0,1600,0.5
1440.0,980.0,2.0,166.481,1053.505,6.06951e-08,-250.0,-87.9897,15.74259,177.7529,15.74259,urban ground,BS,BS urban1,1434 816 30,168.014,10.0,1600,0.5
1440.0,1270.0,2.0,206.693,0.9321224,6.79814e-07,-250.0,-87.9897,-24.9003,137.11,-24.9003,suburban ground,BS,BS suburban1,1478 1472 20,112.681,10.0,1200,0.6
1440.0,1670.0,2.0,226.343,34.41643,6.39963e-07,-250.0,-87.9897,-8.972803,153.0375,-8.972803,suburban ground,BS,BS suburban2,1488 1449 20,101.412,10.0,1200,0.6
1450.0,140.0,2.0,609.506,215.7166,8.79328e-09,-250.0,-87.9897,0.4608953,162.4712,0.4608953,sea surface,ABS,ABS urban,1550 700 225,48.004,2.0,400,1.0
1450.0,770.0,2.0,56.1783,1475.051,9.57221e-08,-250.0,-87.9897,22.1755,184.1858,22.1755,urban ground,BS,BS urban1,1434 816 30,168.014,10.0,1600,0.5
1450.0,1160.0,2.0,872.363,132.6989,2.35757e-08,-250.0,-87.9897,-2.336508,159.6738,-2.336508,plain ground,ABS,ABS urban high rise2,765 1652 225,72.403,2.0,600,1.2
1450.0,1520.0,2.0,237.127,8.294991,3.62002e-08,-250.0,-87.9897,-15.35131,146.659,-15.35131,suburban ground,ABS,ABS suburban,1530 1530 225,32.194,2.0,300,1.1
1450.0,1940.0,12.2293,1292.59,105.5894,4.93062e-09,-250.0,-87.9897,-3.546998,158.4633,-3.546998,plain ground,ABS,ABS urban high rise1,208 1652 225,80.448,2.0,600,1.2
1460.0,530.0,2.0,100188.0,368.5283,1.11417e-07,-250.0,-96.22878,36.97849,190.7497,36.97849,urban ground,Satellite,Satellite,xxx,40.233,2.5,400,20.0
1460.0,1050.0,2.0,100187.0,360.4957,2.26482e-07,-250.0,-96.22878,36.17229,189.9435,36.17229,plain ground,Satellite,Satellite,xxx,40.233,2.5,400,20.0
1460.0,1360.0,2.0,100188.0,361.2279,3.65051e-08,-250.0,-96.22878,36.24578,190.017,36.24578,suburban ground,Satellite,Satellite,xxx,40.233,2.5,400,20.0
1460.0,1780.0,2.0,308.575,751.8018,8.92094e-08,-250.0,-87.9897,10.9825,172.9928,10.9825,plain ground,BS,BS suburban1,1478 1472 20,112.681,10.0,1200,0.6
1470.0,300.0,2.0,518.012,646.2181,2.23226e-07,-250.0,-87.9897,9.237503,171.2478,9.237503,sea surface,BS,BS urban1,1434 816 30,168.014,10.0,1600,0.5
1470.0,930.0,2.0,445.872,106.8888,8.9564e-08,-250.0,-87.9897,-3.483502,158.5268,-3.483502,urban ground,BS,BS urban2,1678 537 35,151.213,10.0,1600,0.5
1470.0,1230.0,2.0,220.886,471.5775,2.69451e-07,-250.0,-87.9897,6.155494,168.1658,6.155494,plain ground,BS,BS suburban2,1488 1449 20,101.412,10.0,1200,0.6
1470.0,1620.0,2.0,100189.0,400.3056,8.83771e-09,-250.0,-96.22878,40.16758,193.9388,40.16758,plain ground,Satellite,Satellite,xxx,40.233,2.5,400,20.0
1480.0,60.0,2.0,100192.0,334.5006,9.54681e-08,-250.0,-96.22878,33.56299,187.3342,33.56299,sea surface,Satellite,Satellite,xxx,40.233,2.5,400,20.0
1480.0,730.0,300.0,382.986,232.7908,3.79704e-08,-250.0,-87.9897,0.9366927,162.947,0.9366927,urban air,BS,BS urban2,1678 537 35,151.213,10.0,1600,0.5
1480.0,1150.0,150.0,100039.0,411.7454,5.2849e-07,-250.0,-96.22878,41.31559,195.0868,41.31559,plain air,Satellite,Satellite,xxx,40.233,2.5,400,20.0
1480.0,1530.0,2.0,758.84,179.0393,7.47732e-09,-250.0,-87.9897,-0.6557049,161.3546,-0.6557049,plain ground,ABS,ABS urban high rise2,765 1652 225,72.403,2.0,600,1.2
1480.0,1950.0,27.2174,477.609,443.6946,9.14607e-08,-250.0,-87.9897,5.627693,167.638,5.627693,plain ground,BS,BS suburban1,1478 1472 20,112.681,10.0,1200,0.6
1490.0,570.0,150.0,100040.0,468.1743,5.48663e-07,-250.0,-96.22878,46.97808,200.7493,46.97808,urban air,Satellite,Satellite,xxx,40.233,2.5,400,20.0
1490.0,1090.0,2.0,359.907,850.7608,2.87345e-07,-250.0,-87.9897,12.5714,174.5817,12.5714,plain ground,BS,BS suburban2,1488 1449 20,101.412,10.0,1200,0.6
1490.0,1410.0,2.0,100188.0,379.3652,4.45876e-08,-250.0,-96.22878,38.06608,191.8373,38.06608,suburban ground,Satellite,Satellite,xxx,40.233,2.5,400,20.0
1490.0,1840.0,15.6825,376.183,239.1069,1.53911e-08,-250.0,-87.9897,1.106895,163.1172,1.106895,plain ground,ABS,ABS suburban,1530 1530 225,32.194,2.0,300,1.1
1500.0,380.0,2.0,239.629,472.7011,2.39288e-07,-250.0,-87.9897,6.176494,168.1868,6.176494,sea surface,BS,BS urban2,1678 537 35,151.213,10.0,1600,0.5
1500.0,990.0,2.0,371.075,113.3327,1.29641e-08,-250.0,-87.9897,-3.177697,158.8326,-3.177697,urban ground,ABS,ABS urban,1550 700 225,48.004,2.0,400,1.0
1500.0,1280.0,2.0,625.425,141.5992,4.77536e-09,-250.0,-87.9897,-1.982304,160.028,-1.982304,suburban ground,ABS,ABS urban,1550 700 225,48.004,2.0,400,1.0
1500.0,1680.0,2.0,768.595,222.7529,8.08714e-10,-250.0,-87.9897,0.659889,162.6702,0.659889,plain ground,ABS,ABS urban high rise2,765 1652 225,72.403,2.0,600,1.2
1510.0,150.0,2.0,593.125,336.372,3.38788e-09,-250.0,-87.9897,3.440803,165.4511,3.440803,sea surface,ABS,ABS urban,1550 700 225,48.004,2.0,400,1.0
1510.0,780.0,2.0,88.6341,1328.643,2.26409e-07,-250.0,-87.9897,19.9544,181.9647,19.9544,urban ground,BS,BS urban1,1434 816 30,168.014,10.0,1600,0.5
1510.0,1160.0,2.0,646.098,116.1004,1.25192e-06,-250.0,-87.9897,-3.050705,158.9596,-3.050705,plain ground,BS,BS urban2,1678 537 35,151.213,10.0,1600,0.5
1510.0,1520.0,2.0,76.1855,62.41459,1.17678e-06,-250.0,-87.9897,-6.171004,155.8393,-6.171004,mountain land ground,BS,BS suburban2,1488 1449 20,101.412,10.0,1200,0.6
1510.0,1940.0,38.7893,100155.0,650.2473,7.49789e-09,-250.0,-96.22878,65.24798,219.0192,65.24798,mountain land ground,Satellite,Satellite,xxx,40.233,2.5,400,20.0
1520.0,540.0,2.0,100188.0,378.8869,1.38772e-07,-250.0,-96.22878,38.01809,191.7893,38.01809,urban ground,Satellite,Satellite,xxx,40.233,2.5,400,20.0
1520.0,1060.0,2.0,984.996,120.925,2.3998e-08,-250.0,-87.9897,-2.835099,159.1752,-2.835099,plain ground,ABS,ABS urban high rise2,765 1652 225,72.403,2.0,600,1.2
1520.0,1380.0,2.0,100188.0,456.8813,7.73067e-08,-250.0,-96.22878,45.84488,199.6161,45.84488,suburban ground,Satellite,Satellite,xxx,40.233,2.5,400,20.0
1520.0,1810.0,324.114,297.193,544.5504,7.29108e-08,-250.0,-87.9897,7.482895,169.4932,7.482895,mountain land air,ABS,ABS suburban,1530 1530 225,32.194,2.0,300,1.1
1530.0,340.0,300.0,366.433,456.6407,3.64664e-08,-250.0,-87.9897,5.874389,167.8847,5.874389,sea sky,ABS,ABS urban,1550 700 225,48.004,2.0,400,1.0
1530.0,1000.0,150.0,535.28,300.5766,1.32784e-07,-250.0,-87.9897,2.634195,164.6445,2.634195,urban air,ABS,ABS suburban,1530 1530 225,32.194,2.0,300,1.1
1530.0,1290.0,150.0,1372.72,80.64865,3.95546e-09,-250.0,-87.9897,-4.915005,157.0953,-4.915005,suburban air,ABS,ABS urban high rise1,208 1652 225,80.448,2.0,600,1.2
1530.0,1690.0,158.423,280.759,8.441238,1.0329e-07,-250.0,-87.9897,-15.2743,146.736,-15.2743,mountain land ground,BS,BS suburban2,1488 1449 20,101.412,10.0,1200,0.6
1540.0,170.0,150.0,533.435,330.509,6.97748e-08,-250.0,-87.9897,3.312,165.3223,3.312,sea sky,ABS,ABS urban,1550 700 225,48.004,2.0,400,1.0
1540.0,850.0,2.0,270.143,14.51786,1.62799e-08,-250.0,-87.9897,-12.8733,149.137,-12.8733,urban ground,ABS,ABS urban,1550 700 225,48.004,2.0,400,1.0
1540.0,1200.0,300.0,395.636,0.03764831,2.981e-07,-250.0,-87.9897,-38.84431,123.166,-38.84431,plain air,BS,BS suburban1,1478 1472 20,112.681,10.0,1200,0.6
1540.0,1580.0,300.0,1336.05,89.98226,1.01541e-08,-250.0,-87.9897,-4.365708,157.6446,-4.365708,mountain land air,ABS,ABS urban high rise1,208 1652 225,80.448,2.0,600,1.2
1550.0,0.0,2.0,732.76,179.6976,8.74453e-09,-250.0,-87.9897,-0.6343043,161.376,-0.6343043,sea surface,ABS,ABS urban,1550 700 225,48.004,2.0,400,1.0
1550.0,630.0,2.0,220.989,505.6982,9.15706e-08,-250.0,-87.9897,6.784891,168.7952,6.784891,urban ground,BS,BS urban1,1434 816 30,168.014,10.0,1600,0.5
1550.0,1100.0,2.0,459.714,274.3875,7.24563e-09,-250.0,-87.9897,2.008995,164.0193,2.008995,plain ground,ABS,ABS urban,1550 700 225,48.004,2.0,400,1.0
1550.0,1440.0,300.0,291.032,37.73027,1.81053e-09,-250.0,-87.9897,-8.548104,153.4622,-8.548104,suburban air,BS,BS suburban1,1478 1472 20,112.681,10.0,1200,0.6
1550.0,1860.0,348.137,529.267,0.4415112,8.38114e-08,-250.0,-87.9897,-28.14931,133.861,-28.14931,mountain land air,BS,BS suburban2,1488 1449 20,101.412,10.0,1200,0.6
1560.0,490.0,2.0,305.052,71.96183,1.3803e-08,-250.0,-87.9897,-5.478207,156.5321,-5.478207,urban ground,ABS,ABS urban,1550 700 225,48.004,2.0,400,1.0
1560.0,1050.0,2.0,406.359,473.0595,3.23664e-08,-250.0,-87.9897,6.183189,168.1935,6.183189,plain ground,BS,BS suburban2,1488 1449 20,101.412,10.0,1200,0.6
1560.0,1500.0,2.0,100189.0,392.7275,2.01896e-08,-250.0,-96.22878,39.40708,193.1783,39.40708,mountain land ground,Satellite,Satellite,xxx,40.233,2.5,400,20.0
1570.0,130.0,150.0,436.507,535.3427,1.08874e-08,-250.0,-87.9897,7.319091,169.3294,7.319091,sea sky,BS,BS urban2,1678 537 35,151.213,10.0,1600,0.5
1570.0,810.0,2.0,250.194,49.19552,1.11845e-08,-250.0,-87.9897,-7.307297,154.703,-7.307297,urban ground,ABS,ABS urban,1550 700 225,48.004,2.0,400,1.0
1570.0,1250.0,300.0,557.363,357.0332,1.31604e-07,-250.0,-87.9897,3.885597,165.8959,3.885597,plain air,ABS,ABS urban,1550 700 225,48.004,2.0,400,1.0
1570.0,1840.0,355.035,99838.2,358.5269,6.95415e-07,-250.0,-96.22878,35.97469,189.7459,35.97469,mountain land air,Satellite,Satellite,xxx,40.233,2.5,400,20.0
