X(m),Y(m),Z(m),Distance(m),Capacity(MBit/sec),DelaySpread(sec),Interference (dB),Noise (dB),SNR (dB),SIR (dB),SINR (dB),Environment,Base Station Type,Base Station Code,Base Station Coordinates,Total Capacity (Gbps),Total Bandwidth (GHz),number of interfaces,Net delay(ms)
980.0,1090.0,2.0,738.802,176.9929,9.34029e-09,-250.0,-87.9897,-0.7226051,161.2877,-0.7226051,plain ground,ABS,ABS suburban,1530 1530 225,32.194,2.0,300,1.1
980.0,1260.0,2.0,894.079,3.457557,2.33145e-07,-250.0,-87.9897,-19.18831,142.822,-19.18831,plain ground,ABS,ABS urban high rise1,208 1652 225,80.448,2.0,600,1.2
980.0,1460.0,2.0,330.717,449.653,1.7506e-07,-250.0,-87.9897,5.7416,167.7519,5.7416,plain ground,BS,BS urban high rise 2,658 1479 75,281.567,10.0,2400,0.7
980.0,1770.0,2.0,812.18,0.6395772,1.14163e-07,-250.0,-87.9897,-26.5383,135.472,-26.5383,plain ground,ABS,ABS urban high rise1,208 1652 225,80.448,2.0,600,1.2
990.0,80.0,2.0,864.579,148.0215,6.20005e-09,-250.0,-87.9897,-1.737305,160.273,-1.737305,sea surface,ABS,ABS urban,1550 700 225,48.004,2.0,400,1.0
990.0,390.0,2.0,100188.0,385.2242,1.16579e-07,-250.0,-96.22878,38.65408,192.4253,38.65408,plain ground,Satellite,Satellite,xxx,40.233,2.5,400,20.0
990.0,710.0,2.0,733.138,8.83503,3.34894e-07,-250.0,-87.9897,-15.07331,146.937,-15.07331,plain ground,BS,BS dense urban1,314 990 48,202.728,10.0,2000,0.5
990.0,980.0,2.0,693.221,0.5580254,4.18631e-07,-250.0,-87.9897,-27.13131,134.879,-27.13131,plain ground,BS,BS suburban1,1478 1472 20,112.681,10.0,1200,0.6
990.0,1150.0,2.0,584.827,2.380025,8.62866e-07,-250.0,-87.9897,-20.81831,141.192,-20.81831,plain ground,BS,BS suburban1,1478 1472 20,112.681,10.0,1200,0.6
990.0,1330.0,2.0,512.033,0.0009338414,1.68498e-07,-250.0,-87.9897,-54.89931,107.111,-54.89931,plain ground,BS,BS suburban2,1488 1449 20,101.412,10.0,1200,0.6
990.0,1570.0,2.0,512.292,0.0002574392,5.17896e-08,-250.0,-87.9897,-60.4953,101.515,-60.4953,plain ground,BS,BS suburban2,1488 1449 20,101.412,10.0,1200,0.6
990.0,1890.0,2.0,847.288,0.1078183,1.50756e-07,-250.0,-87.9897,-34.27431,127.736,-34.27431,plain ground,ABS,ABS urban high rise1,208 1652 225,80.448,2.0,600,1.2
1000.0,200.0,2.0,776.168,292.3819,9.22499e-09,-250.0,-87.9897,2.442096,164.4524,2.442096,sea surface,ABS,ABS urban,1550 700 225,48.004,2.0,400,1.0
1000.0,510.0,2.0,100187.0,384.705,1.42102e-07,-250.0,-96.22878,38.60198,192.3732,38.60198,plain ground,Satellite,Satellite,xxx,40.233,2.5,400,20.0
1000.0,820.0,2.0,675.876,178.8338,4.3283e-08,-250.0,-87.9897,-0.6623996,161.3479,-0.6623996,plain ground,ABS,ABS dense urban1,486 442 225,64.358,2.0,500,1.0
1000.0,1050.0,2.0,561.577,229.4807,8.13468e-09,-250.0,-87.9897,0.8462943,162.8566,0.8462943,plain ground,ABS,ABS dense urban2,486 1088 225,57.922,2.0,500,1.0
1000.0,1210.0,2.0,100186.0,369.6781,9.20548e-08,-250.0,-96.22878,37.09388,190.8651,37.09388,plain ground,Satellite,Satellite,xxx,40.233,2.5,400,20.0
1000.0,1410.0,2.0,646.227,0.1171078,1.21168e-07,-250.0,-87.9897,-33.91531,128.095,-33.91531,plain ground,ABS,ABS dense urban2,486 1088 225,57.922,2.0,500,1.0
